生徒ID,保護者ID,契約ID,契約ID_存在,請求ID,請求ID_存在,金額,開始日,顧客表記用請求名
206802,8206800,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料4級
6957,8100253,,×,,×,3500,2025/11/01,【2025年10月実施】漢検受験料２級
15275,8111727,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料3級
208696,8207259,,×,,×,1500,2025/11/01,【2025年10月実施】漢検受験料9級 
222877,8222874,,×,,×,177100,2025/11/01,メプレス2025年11月分授業料
221952,8221950,,×,,×,477345,2025/11/01,メプレス2025年11月分授業料
223308,8223307,,×,,×,172260,2025/11/01,メプレス2025年11月分授業料
16613,8112810,,×,,×,84920,2025/11/01,メプレス2025年11月分授業料
221951,8221950,,×,,×,50600,2025/11/01,メプレス2025年11月分授業料
222556,8213082,,×,,×,0,2025/11/01,メプレス2025年11月分授業料
214485,8214484,,×,,×,320320,2025/11/01,メプレス2025年11月分授業料
221857,8221856,,×,,×,307500,2025/11/01,メプレス2025年11月分授業料
220488,8220487,,×,,×,115500,2025/11/01,メプレス2025年11月分授業料
222876,8222874,,×,,×,395240,2025/11/01,メプレス2025年11月分授業料
219996,8219995,,×,,×,124080,2025/11/01,メプレス2025年11月分授業料
221696,8221695,,×,,×,311300,2025/11/01,メプレス2025年11月分授業料
221059,8221058,,×,,×,148500,2025/11/01,メプレス2025年11月分授業料
221859,8221858,,×,,×,121000,2025/11/01,メプレス2025年11月分授業料
214636,8214635,,×,,×,279400,2025/11/01,メプレス2025年11月分授業料
216256,8216255,,×,,×,169840,2025/11/01,メプレス2025年11月分授業料
222556,8213082,,×,,×,271700,2025/11/01,メプレス2025年11月分授業料
211984,8211922,,×,,×,53900,2025/11/01,メプレス2025年11月分授業料
221203,8221202,,×,,×,298940,2025/11/01,メプレス2025年11月分授業料
219502,8219501,,×,,×,65560,2025/11/01,メプレス2025年11月分授業料
213083,8213082,,×,,×,483600,2025/11/01,メプレス2025年11月分授業料
220602,8220601,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222050,8206668,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
221960,8221959,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
223143,8223142,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
216743,8216740,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
220531,8220528,,×,,×,1000,2025/11/01,【10月分】アンさんこくキッズ【授業料】レギュラー  週1コマ（ぽっきり価格）
216786,8216785,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
219458,8219456,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
213663,8213662,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
219743,8219742,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222630,8222628,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
220071,8214342,,×,,×,1000,2025/11/01,【10月分】アンさんこくキッズ【授業料】レギュラー  週1コマ（ぽっきり価格）
221969,8221967,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222807,8222806,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222741,8217198,,×,,×,1000,2025/11/01,【10月分】アンさんこくキッズ【授業料】レギュラー  週1コマ（ぽっきり価格）
220204,8220203,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
223210,8222806,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
219464,8219463,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
217837,8207575,,×,,×,1000,2025/11/01,【10月分】アンさんこくキッズ【授業料】レギュラー  週1コマ（ぽっきり価格）
222534,8222533,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
220603,8220601,,×,,×,1000,2025/11/01,【10月分】アンさんこくキッズ【授業料】レギュラー  週1コマ（ぽっきり価格）
221865,8221794,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
220761,8214705,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
220705,8220704,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
213451,8213447,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
220378,8220377,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222739,8222738,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
222682,8222681,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222546,8222545,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
217682,8217665,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
217872,8216724,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
222676,8222194,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
220797,8211166,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
215809,8215794,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
222547,8222545,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
220294,8220293,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
217475,8217474,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
216786,8216785,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
223074,8205476,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222832,8222831,,×,,×,2000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週2コマ（ぽっきり価格）
222580,8222579,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222254,8222253,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
217551,8208647,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
217029,8217027,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
220602,8220601,,×,,×,1000,2025/11/01,【10月分】アンさんこくキッズ【授業料】レギュラー  週1コマ（ぽっきり価格）
219433,8219432,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
217873,8216724,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
221579,8221578,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222205,8222204,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222401,8222399,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
222739,8222738,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
222987,8222985,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
217872,8216724,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
213173,8213172,,×,,×,1000,2025/11/01,【10月分】アンそろばんクラブ【授業料】そろばん30分_1：5マンツー  週1コマ（ぽっきり価格）
220259,8211195,,×,,×,1000,2025/11/01,【10月分】アン美文字クラブ【授業料】【硬筆】1：3マンツー  週1コマ（ぽっきり価格）
221945,8218468,,×,,×,2500,2025/11/01,WhiteクラスDictation後半再購入分
217009,8216906,,×,,×,2500,2025/11/01,11月分_アンそろばんクラブ【教材費】
,8223142,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
,8219742,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
,8222738,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8220203,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
,8214342,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8211195,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8222628,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8214705,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8206668,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8221794,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8222545,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8222399,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8221959,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
,8220601,,×,,×,2000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8219456,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8222579,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
,8216785,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8213172,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
,8222985,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8220528,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8215794,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8221967,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8216740,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
,8207575,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8222806,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8217198,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8213447,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8217027,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8217665,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
,8211166,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8205476,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8208647,,×,,×,1000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8216724,,×,,×,3000,2025/11/01,10月家族割分（ぽっきり価格適用のため）
,8222533,,×,,×,500,2025/11/01,10月FS割引分（ぽっきり価格適用のため）
211217,8211204,,×,,×,1520,2025/11/01,10月分リレー→ペアへの差額
2948,8101968,,×,,×,6900,2025/11/01,英検２級受験料
203634,8203633,,×,,×,2500,2025/11/01,英検5級受験料
208992,8208823,,×,,×,2500,2025/11/01,【2025年10月実施】英検5級受験料
13712,8110644,,×,,×,6900,2025/11/01,【2025年10月実施】英検2級受験料
13712,8110644,,×,,×,6900,2025/11/01,【2025年10月実施】英検2級受験料
11243,8104802,,×,,×,6100,2025/11/01,【2025年10月実施】英検準2級受験料
200704,8200703,,×,,×,6000,2025/11/01,テスト対策費
15885,8110601,,×,,×,6000,2025/11/01,テスト対策費
200299,8200298,,×,,×,6000,2025/11/01,テスト対策費
200300,8200298,,×,,×,6000,2025/11/01,テスト対策費
200088,8200074,,×,,×,6000,2025/11/01,テスト対策費
211874,8211872,,×,,×,1400,2025/11/01,大筆（小学観峰）
223429,8223408,,×,,×,1200,2025/11/01,【11月分】教材費
2222494,8889335,,×,,×,4200,2025/11/01,愛知県全県模試（１０月２５日実施）
223540,8223539,,×,,×,5000,2025/11/01,アンプログラミングクラブ【入会金】 (友人紹介半額) 
219546,8219545,,×,,×,100,2025/11/01,【追加_まなびワールド】《【9月分】お茶代100円×1個》（9/1分）
221750,8221749,,×,,×,100,2025/11/01,【追加_まなびワールド】《【9月分】お茶代100円×1個》（9/10分）
216532,8216516,,×,,×,1000,2025/11/01,アンまなびワールド【教材費】 月払い
219613,8219612,,×,,×,1250,2025/11/01,【E-10】　珠算【7】級+暗【9】級(202509検定)
203245,8201634,,×,,×,1550,2025/11/01,【E-30】　珠算【準5】級+暗【6】級(202509検定)
220539,8220538,,×,,×,750,2025/11/01,【C-04】　珠算ダブル【17】【16】級(202509検定)
211656,8211655,,×,,×,1550,2025/11/01,【E-30】　珠算【準5】級+暗【6】級(202509検定)
221567,8221359,,×,,×,1500,2025/11/01,【C-10】　珠算ダブル【11】【10】級(202509検定)
215670,8215669,,×,,×,750,2025/11/01,【D-15】　珠算【単級受検】７級(202509検定)
201864,8201861,,×,,×,1250,2025/11/01,【E-12】　珠算【7】級+暗【7】級(202509検定)
221352,8221351,,×,,×,750,2025/11/01,【C-03】　珠算ダブル【18】【17】級(202509検定)
202100,8202099,,×,,×,1000,2025/11/01,【D-22】　珠算【単級受検】準3級(202509検定)※2回目以降
218627,8218626,,×,,×,1000,2025/11/01,【C-08】　珠算ダブル【13】【12】級(202509検定)
220294,8220293,,×,,×,500,2025/11/01,【D-02】　珠算【単級受検】19級(202509検定)
212049,8112026,,×,,×,500,2025/11/01,【D-03】　珠算【単級受検】18級(202509検定)
207051,8207050,,×,,×,900,2025/11/01,【D-19】　珠算【単級受検】5級(202509検定)
212558,8212557,,×,,×,900,2025/11/01,【D-17】　珠算【単級受検】6級(202509検定)
217641,8210730,,×,,×,1250,2025/11/01,【E-06】　珠算【準7】級+暗【9】級(202509検定)
208689,8112801,,×,,×,900,2025/11/01,【D-18】　珠算【単級受検】準5級(202509検定)
205477,8205476,,×,,×,1550,2025/11/01,【E-37】　珠算【準4】級+暗【5】級(202509検定)
208716,8208715,,×,,×,500,2025/11/01,【F-04】　暗算 【7】級(202509検定)
211244,8111839,,×,,×,750,2025/11/01,【D-13】　珠算【単級受検】8級(202509検定)
16095,8103322,,×,,×,1550,2025/11/01,【E-35】　珠算【5】級+暗【4】級(202509検定)
222938,8222937,,×,,×,500,2025/11/01,【A-01】　珠算チェック【20】【19】【18】級(202509検定)
216142,8216141,,×,,×,900,2025/11/01,【D-18】　珠算【単級受検】準5級(202509検定)
214034,8208872,,×,,×,1550,2025/11/01,【E-35】　珠算【5】級+暗【4】級(202509検定)
221212,8221211,,×,,×,500,2025/11/01,【D-02】　珠算【単級受検】19級(202509検定)
219424,8212261,,×,,×,500,2025/11/01,【D-03】　珠算【単級受検】18級(202509検定)
219788,8219787,,×,,×,500,2025/11/01,【D-04】　珠算【単級受検】17級(202509検定)
203763,8203749,,×,,×,900,2025/11/01,【D-18】　珠算【単級受検】準5級(202509検定)
219861,8219776,,×,,×,500,2025/11/01,【F-01】　暗算 【10】級(202509検定)
222093,8222092,,×,,×,750,2025/11/01,【C-04】　珠算ダブル【17】【16】級(202509検定)
206130,8206100,,×,,×,900,2025/11/01,【D-21】　珠算【単級受検】4級(202509検定)
220105,8219840,,×,,×,500,2025/11/01,【D-03】　珠算【単級受検】18級(202509検定)
16419,8112656,,×,,×,1550,2025/11/01,【E-27】　珠算【準6】級+暗【6】級(202509検定)
203393,8105250,,×,,×,1400,2025/11/01,【E-17】　珠算【準6】級+暗【7】級(202509検定)
218167,8211457,,×,,×,750,2025/11/01,【D-11】　珠算【単級受検】10級(202509検定)
215754,8204184,,×,,×,750,2025/11/01,【D-13】　珠算【単級受検】8級(202509検定)
220554,8220553,,×,,×,1000,2025/11/01,【B-06】　珠算トリプル【15】【14】【13】級(202509検定)
206001,8206000,,×,,×,1400,2025/11/01,【E-16】　珠算【準6】級+暗【8】級(202509検定)
207867,8207856,,×,,×,900,2025/11/01,【D-19】　珠算【単級受検】5級(202509検定)
13876,8109462,,×,,×,1000,2025/11/01,【D-27】　珠算【単級受検】1級(202509検定)※2回目以降
222176,8221916,,×,,×,750,2025/11/01,【C-04】　珠算ダブル【17】【16】級(202509検定)
216790,8216787,,×,,×,750,2025/11/01,【D-13】　珠算【単級受検】8級(202509検定)
215235,8112864,,×,,×,1500,2025/11/01,【C-10】　珠算ダブル【11】【10】級(202509検定)
207504,8207502,,×,,×,750,2025/11/01,【D-13】　珠算【単級受検】8級(202509検定)
222711,8222709,,×,,×,500,2025/11/01,【A-01】　珠算チェック【20】【19】【18】級(202509検定)
216048,8205651,,×,,×,900,2025/11/01,【D-17】　珠算【単級受検】6級(202509検定)
206651,8206650,,×,,×,750,2025/11/01,【D-15】　珠算【単級受検】７級(202509検定)
213243,8205845,,×,,×,500,2025/11/01,【F-02】　暗算 【9】級(202509検定)
211588,8211587,,×,,×,1400,2025/11/01,【E-15】　珠算【準6】級+暗【9】級(202509検定)
214701,8214620,,×,,×,500,2025/11/01,【F-04】　暗算 【7】級(202509検定)
215594,8205255,,×,,×,1200,2025/11/01,【D-22】　珠算【単級受検】準3級(202509検定)
216995,8216986,,×,,×,750,2025/11/01,【D-09】　珠算【単級受検】12級(202509検定)
213917,8205857,,×,,×,1000,2025/11/01,【C-08】　珠算ダブル【13】【12】級(202509検定)
13448,8104197,,×,,×,650,2025/11/01,【F-05】　暗算 【6】級(202509検定)
204249,8204248,,×,,×,900,2025/11/01,【D-20】　珠算【単級受検】準4級(202509検定)
218215,8206536,,×,,×,500,2025/11/01,【D-05】　珠算【単級受検】16級(202509検定)
