請求ID,有無,作業内容,リスト化,対象,保護者ID,生徒ID,対象　契約ID,対象　請求ID,対象　同ブランド,対象　チケットID,対象カテゴリー,請求カテゴリー区分,金額,請求単位,税区分,複数個,繰り返し,自動請求,開始日,終了日,顧客表記用請求名（契約、請求IDの請求は、そのすぐ下に表記）,終了条件,社長のIF文用備考,請求申請者申請許可,返金時の注意,元請求月謝,登録日時,登録ユーザー,最終更新日時,最終更新ユーザー
AB0000003900,1,1,1,2,8207993,207994,,,その他,,1,0,1080,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分アフター,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003899,1,1,1,2,8207993,219691,,,その他,,1,0,1080,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分アフター,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003898,1,1,1,2,8207993,219691,,,その他,,1,0,2040,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003897,1,1,1,2,8207993,207994,,,その他,,1,0,2040,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003896,1,1,1,2,8207890,207891,,,その他,,1,0,120,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003895,1,1,1,2,8200940,207869,,,その他,,1,0,300,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003894,1,1,1,2,8204748,204749,,,その他,,1,0,100,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003893,1,1,1,2,8201580,201581,,,その他,,1,0,120,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003892,1,1,1,2,8200755,215684,,,その他,,1,0,120,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003891,1,1,1,2,8200755,200815,,,その他,,1,0,120,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003890,1,1,1,1,8212912,212913,24PRO_1000005,24PRO_1000005_61,アンプログラミングクラブ,,入会時教材費,88,5000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】マイクラコース 教材（4月・10月 ）,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003889,1,1,1,1,8212912,212913,24PRO_1000005,24PRO_1000005_55,アンプログラミングクラブ,,入会時設備費,87,500,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003888,1,1,1,1,8212912,212913,24PRO_1000005,24PRO_1000005_54,アンプログラミングクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003887,1,1,1,1,8212912,212913,24PRO_1000005,24PRO_1000005_50,アンプログラミングクラブ,,入会時授業料A,85,4800,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003886,1,1,1,2,8222470,222516,,,その他,,1,0,4200,円,1,,1,0,2025/12/01,2025/12/31,【必須模試代】10月分　全県模試代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003885,1,1,1,2,8222452,222492,,,その他,,1,0,4200,円,1,,1,0,2025/12/01,2025/12/31,【必須模試代】10月分　全県模試代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003884,1,1,1,2,8222439,222472,,,その他,,1,0,4200,円,1,,1,0,2025/12/01,2025/12/31,【必須模試代】10月分　全県模試代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003883,1,1,1,2,8222445,222484,,,その他,,1,0,4200,円,1,,1,0,2025/12/01,2025/12/31,【必須模試代】10月分　全県模試代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003882,1,1,1,2,8222441,222475,,,その他,,1,0,4200,円,1,,1,0,2025/12/01,2025/12/31,【必須模試代】10月分　全県模試代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003881,1,1,1,2,8222449,222488,,,その他,,1,0,4200,円,1,,1,0,2025/12/01,2025/12/31,【必須模試代】10月分　全県模試代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003877,1,1,1,1,8223542,223544,24AEC_1000067,24AEC_1000067_1,アンイングリッシュクラブ,,授業料,1,1000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【授業料】White リレー　40分×週1回　Whiteぽっきり価格 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003879,1,1,1,1,8223542,223544,24AEC_1000067,24AEC_1000067_52,アンイングリッシュクラブ,,入会時授業料2,91,606,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003878,1,1,1,1,8223542,223544,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003880,1,1,1,1,8223542,223544,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】White,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003875,1,1,1,1,8223542,223543,24AEC_1000067,24AEC_1000067_52,アンイングリッシュクラブ,,入会時授業料2,91,606,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003874,1,1,1,1,8223542,223543,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003873,1,1,1,1,8223542,223543,24AEC_1000067,24AEC_1000067_1,アンイングリッシュクラブ,,授業料,1,1000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【授業料】White リレー　40分×週1回　Whiteぽっきり価格 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003876,1,1,1,1,8223542,223543,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】White,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003872,1,1,1,2,8221926,221928,,,その他,,1,0,4000,円,1,,1,0,2025/12/01,2025/12/31,【授業料_11月追加分】11月週１→３へ変更の為の差額分,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003871,1,1,1,2,8401612,2222581,,,その他,,1,0,8000,円,1,,1,0,2025/12/01,2025/12/31,アン進学ジム中学部【必須テスト対策費】中2  進学ジム 2Days Free,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003869,1,1,1,1,8401612,2222581,24GYJ_1000139,24GYJ_1000139_55,アン進学ジム【中学部】,,入会時設備費,87,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_塾【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003870,1,1,1,1,8401612,2222581,24GYJ_1000139,24GYJ_1000139_61,アン進学ジム【中学部】,,入会時教材費,88,11000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】 中2 教材（3月・9月）,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003866,1,1,1,1,8401612,2222581,24GYJ_1000139,24GYJ_1000139_10,アン進学ジム【中学部】,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アン進学ジム中学部【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003868,1,1,1,1,8401612,2222581,24GYJ_1000139,24GYJ_1000139_54,アン進学ジム【中学部】,,入会時月会費,86,2700,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003867,1,1,1,1,8401612,2222581,24GYJ_1000139,24GYJ_1000139_50,アン進学ジム【中学部】,,入会時授業料A,85,16000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003865,1,1,1,2,8220979,220980,,,その他,,1,0,1500,円,2,,1,0,2025/12/01,2025/12/31,【2025年10月実施】漢検10級検定料,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003861,1,1,1,1,8223086,223087,24AEC_1000009,24AEC_1000009_50,アンイングリッシュクラブ,,入会時授業料A,85,5980,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003860,1,1,1,1,8223086,223087,24AEC_1000009,24AEC_1000009_6,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003862,1,1,1,1,8223086,223087,24AEC_1000009,24AEC_1000009_54,アンイングリッシュクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003864,1,1,1,1,8223086,223087,24AEC_1000009,24AEC_1000009_60,アンイングリッシュクラブ,,入会時教材費,88,6000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】Yellow,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003863,1,1,1,1,8223086,223087,24AEC_1000009,24AEC_1000009_55,アンイングリッシュクラブ,,入会時設備費,87,500,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003859,1,1,1,1,8212429,2222578,24AEC_1000067,24AEC_1000067_50,アンイングリッシュクラブ,,入会時授業料A,85,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003858,1,1,1,1,8212429,2222578,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,6000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】White,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003857,1,1,1,1,8212429,2222578,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003856,1,1,1,1,8222082,222084,24AEC_1000067,24AEC_1000067_50,アンイングリッシュクラブ,,入会時授業料A,85,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003855,1,1,1,1,8222082,222084,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,6000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】White,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003854,1,1,1,1,8222082,222084,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003853,1,1,1,2,8112440,16131,,,その他,,1,0,2000,円,1,,1,0,2025/12/01,2025/12/31,【授業料_11月分追加分】11月から週1→週2に変更の為差額分,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003850,1,1,1,1,8889375,2222507,24PRO_1000005,24PRO_1000005_50,アンプログラミングクラブ,,入会時授業料A,85,4800,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003852,1,1,1,1,8889375,2222507,24PRO_1000005,24PRO_1000005_55,アンプログラミングクラブ,,入会時設備費,87,500,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003851,1,1,1,1,8889375,2222507,24PRO_1000005,24PRO_1000005_54,アンプログラミングクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003849,1,1,1,2,8204783,204784,,,その他,,1,0,18000,円,1,,1,0,2025/12/01,2025/12/31,【11月分_アンまなびワールド【授業料】送迎付き学童カルチャーパック週1回,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003848,1,1,1,2,8204783,204784,,,その他,,1,0,18000,円,1,,1,0,2025/12/01,2025/12/31,【10月分_アンまなびワールド【授業料】送迎付き学童カルチャーパック週1回,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003846,1,1,1,1,8223760,223765,24KID_1000002,24KID_1000002_55,アンさんこくキッズ,,入会時設備費,87,500,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_塾【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003844,1,1,1,1,8223760,223765,24KID_1000002,24KID_1000002_50,アンさんこくキッズ,,入会時授業料A,85,3980,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003847,1,1,1,1,8223760,223765,24KID_1000002,24KID_1000002_60,アンさんこくキッズ,,入会時教材費,88,1200,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】 2教科セット（4月・8月・12月）,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003843,1,1,1,1,8223760,223765,24KID_1000002,24KID_1000002_8,アンさんこくキッズ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンさんこくキッズ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003845,1,1,1,1,8223760,223765,24KID_1000002,24KID_1000002_54,アンさんこくキッズ,,入会時月会費,86,700,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003842,1,1,1,1,8223760,223765,24KID_1000002,24KID_1000002_7,アンさんこくキッズ,,入会金,80,5000,円,1,,1,1,2025/12/01,2025/12/31,アンさんこくキッズ【入会金】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003841,1,1,1,2,8223434,223435,,,その他,,1,0,20000,円,3,,1,0,2025/12/01,2025/12/31,アンインターナショナル【入会金】,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003840,1,1,1,2,8216019,223466,,,その他,,1,0,7600,円,3,,1,0,2025/12/01,2025/12/31,アンインターナショナル【お弁当代_9月分】《400円×19個》,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003838,1,1,1,1,8223434,223435,24INT_1000058,24INT_1000058_54,アンインターナショナル,,入会時月会費,86,3500,円,3,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
